CourseTitle,Section,CrsPBADiv,CrsLvlNum,PCT,NComb,CrsPBADept,Instructors,Hours,RAP,Subject_Label,Workload,CrsPBAColl,Level,NIntrFCQ,AvgInstructor,N,Instruction_Mode,AVG_GRD,Course,AvgCourse,YearTerm,Subject,Honors,Activity_Type
Special Topics in World Areas History,001,AH,4XXX,"{u'A': 0.31, u'C': 0.12, u'B': 0.5, u'WDRAW': 0, u'D': 0, u'F': 0.06, u'DF': 0.06, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0.06}",2,HIST,"[{u'group': u'1 TTT', u'name': u'MOJOLA, SANYU AMIMO', u'title': u'ASST PROFESSOR'}, {u'group': u'1 TTT', u'name': u'OSBORNE, MYLES GREGORY', u'title': u'ASST PROFESSOR'}]",3,0,History,"{u'Hrs_Wk': u'7-9', u'Raw': u'3.40'}",AS,Upper,1,5.6,"{u'ENROLL': 16, u'GRADE': 16, u'PASS': 0, u'INCOMP': 0, u'Ret': 15, u'NOCRED': 0, u'EOT': 16}",P  - In Person,2.98,4808,5.4,20137,HIST,0,LEC - Lecture
Human Rights: Historical Perspectives,002,AH,4XXX,"{u'A': 0.5, u'C': 0.13, u'B': 0.33, u'WDRAW': 0, u'D': 0.03, u'F': 0, u'DF': 0.03, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0.03}",1,HIST,"[{u'group': u'1 TTT', u'name': u'MUKHERJEE, MITHI', u'title': u'ASSOCIATE PROFESSOR'}]",3,0,History,"{u'Hrs_Wk': u'7-9', u'Raw': u'2.71'}",AS,Upper,1,5,"{u'ENROLL': 30, u'GRADE': 30, u'PASS': 0, u'INCOMP': 0, u'Ret': 20, u'NOCRED': 0, u'EOT': 30}",P  - In Person,3.25,4820,5.15,20137,HIST,0,LEC - Lecture
Historical Methods: Introduction to the Professional Study of History,801,AH,5XXX,"{u'A': 1, u'C': 0, u'B': 0, u'WDRAW': 0, u'D': 0, u'F': 0, u'DF': 0, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0}",1,HIST,"[{u'group': u'1 TTT', u'name': u'MUKHERJEE, MITHI', u'title': u'ASSOCIATE PROFESSOR'}]",3,1,History,"{u'Hrs_Wk': u'10-12', u'Raw': u'3.55'}",AS,Masters,1,4.91,"{u'ENROLL': 13, u'GRADE': 13, u'PASS': 0, u'INCOMP': 0, u'Ret': 11, u'NOCRED': 0, u'EOT': 13}",P  - In Person,3.84,5000,4.73,20137,HIST,0,SEM - Seminar
Readings in Environmental History,802,AH,6XXX,"{u'A': 0.92, u'C': 0, u'B': 0.08, u'WDRAW': 0, u'D': 0, u'F': 0, u'DF': 0, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0}",1,HIST,"[{u'group': u'1 TTT', u'name': u'SUTTER, PAUL SHRIVER', u'title': u'ASSOCIATE PROFESSOR'}]",3,1,History,"{u'Hrs_Wk': u'10-12', u'Raw': u'4.36'}",AS,Masters,1,5.36,"{u'ENROLL': 13, u'GRADE': 13, u'PASS': 0, u'INCOMP': 0, u'Ret': 11, u'NOCRED': 0, u'EOT': 13}",P  - In Person,3.9,6410,5.27,20137,HIST,0,SEM - Seminar
Seminar: Modern European History,801,AH,7XXX,"{u'A': 0.8, u'C': 0, u'B': 0.2, u'WDRAW': 0, u'D': 0, u'F': 0, u'DF': 0, u'INCOMP': 0.29, u'GRADE': 0.71, u'C_MINUS_OR_BELOW': 0}",1,HIST,"[{u'group': u'1 TTT', u'name': u'HANNA, MARTHA', u'title': u'PROFESSOR'}]",3,1,History,"{u'Hrs_Wk': u'10-12', u'Raw': u'3.75'}",AS,Doctoral,1,5.93,"{u'ENROLL': 14, u'GRADE': 10, u'PASS': 0, u'INCOMP': 4, u'Ret': 14, u'NOCRED': 0, u'EOT': 14}",P  - In Person,3.8,7052,5.71,20137,HIST,0,SEM - Seminar
Honors Coseminar,880,SS,1XXX,"{u'A': 1, u'C': 0, u'B': 0, u'WDRAW': 0, u'D': 0, u'F': 0, u'DF': 0, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0}",1,HONR,"[{u'group': u'1 TTT', u'name': u'BREED, MICHAEL D', u'title': u'PROFESSOR'}]",1,0,Honors,"{u'Hrs_Wk': u'0-3', u'Raw': u'1.14'}",AS,Lower,1,5.78,"{u'ENROLL': 14, u'GRADE': 14, u'PASS': 0, u'INCOMP': 0, u'Ret': 9, u'NOCRED': 0, u'EOT': 14}",HN - Honors Thesis Courses,4,1001,5.67,20137,HONR,1,SEM - Seminar
Honors Diversity Seminar,880,SS,1XXX,"{u'A': 0.83, u'C': 0, u'B': 0, u'WDRAW': 0, u'D': 0, u'F': 0.17, u'DF': 0.17, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0.17}",1,HONR,"[{u'group': u'3 Supp', u'name': u'KEASLEY, ALPHONSE', u'title': u'ASST VICE CHANCELLOR'}]",3,0,Honors,"{u'Hrs_Wk': u'7-9', u'Raw': u'3.00'}",AS,Lower,1,5.5,"{u'ENROLL': 12, u'GRADE': 12, u'PASS': 0, u'INCOMP': 0, u'Ret': 8, u'NOCRED': 0, u'EOT': 12}",HN - Honors Thesis Courses,3.21,1810,5.13,20137,HONR,1,SEM - Seminar
Ethics of Ambition,880,SS,2XXX,"{u'A': 0.81, u'C': 0, u'B': 0.19, u'WDRAW': 0, u'D': 0, u'F': 0, u'DF': 0, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0}",1,HONR,"[{u'group': u'2 Other reg', u'name': u'STROM, PAUL', u'title': u'SENIOR INSTRUCTOR'}]",3,0,Honors,"{u'Hrs_Wk': u'4-6', u'Raw': u'2.36'}",AS,Lower,1,5.73,"{u'ENROLL': 16, u'GRADE': 16, u'PASS': 0, u'INCOMP': 0, u'Ret': 11, u'NOCRED': 0, u'EOT': 16}",HN - Honors Thesis Courses,3.76,2250,5.36,20137,HONR,1,LEC - Lecture
Ethics of Ambition,888,SS,2XXX,"{u'A': 0.88, u'C': 0, u'B': 0.13, u'WDRAW': 0.06, u'D': 0, u'F': 0, u'DF': 0, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0}",1,HONR,"[{u'group': u'2 Other reg', u'name': u'STROM, PAUL', u'title': u'SENIOR INSTRUCTOR'}]",3,0,Honors,"{u'Hrs_Wk': u'', u'Raw': u''}",AS,Lower,,,"{u'ENROLL': 17, u'GRADE': 16, u'PASS': 0, u'INCOMP': 0, u'Ret': u'', u'NOCRED': 0, u'EOT': 16}",P  - In Person,3.8,2250,,20137,HONR,1,LEC - Lecture
Introduction to the Bible,880,SS,2XXX,"{u'A': 1, u'C': 0, u'B': 0, u'WDRAW': 0, u'D': 0, u'F': 0, u'DF': 0, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0}",1,HONR,"[{u'group': u'1 TTT', u'name': u'KOPFF, E CHRISTIAN', u'title': u'ASSOCIATE PROFESSOR'}]",3,0,Honors,"{u'Hrs_Wk': u'4-6', u'Raw': u'1.73'}",AS,Lower,1,5.54,"{u'ENROLL': 14, u'GRADE': 14, u'PASS': 0, u'INCOMP': 0, u'Ret': 13, u'NOCRED': 0, u'EOT': 14}",HN - Honors Thesis Courses,3.96,2251,5.08,20137,HONR,1,SEM - Seminar
